"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        7 rooms","16,273,459","±63,041","12.1%","±0.1"
"        8 rooms","11,234,169","±58,482","8.4%","±0.1"
"        9 rooms or more","14,500,100","±71,405","10.8%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","133,962,970","±4,161","133,962,970","(X)"
"        No bedroom","2,936,332","±39,211","2.2%","±0.1"
"        1 bedroom","15,003,989","±57,568","11.2%","±0.1"
"        2 bedrooms","35,670,593","±89,378","26.6%","±0.1"
"        3 bedrooms","52,963,967","±79,252","39.5%","±0.1"
"        4 bedrooms","21,561,187","±64,165","16.1%","±0.1"
"        5 or more bedrooms","5,826,902","±33,646","4.3%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","117,259,427","±146,938","117,259,427","(X)"
"        Owner-occupied","73,991,995","±217,875","63.1%","±0.1"
"        Renter-occupied","43,267,432","±107,258","36.9%","±0.1"
"    Average household size of owner-occupied unit","2.71","±0.01","(X)","(X)"
"    Average household size of renter-occupied unit","2.55","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","117,259,427","±146,938","117,259,427","(X)"
"        Moved in 2010 or later","45,069,381","±90,986","38.4%","±0.1"
"        Moved in 2000 to 2009","36,624,354","±100,948","31.2%","±0.1"
"        Moved in 1990 to 1999","17,383,494","±66,661","14.8%","±0.1"
"        Moved in 1980 to 1989","8,447,356","±39,661","7.2%","±0.1"
"        Moved in 1970 to 1979","5,616,819","±33,376","4.8%","±0.1"
"        Moved in 1969 or earlier","4,118,023","±25,882","3.5%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","117,259,427","±146,938","117,259,427","(X)"
"        No vehicles available","10,674,576","±49,391","9.1%","±0.1"
"        1 vehicle available","39,521,240","±74,943","33.7%","±0.1"
"        2 vehicles available","43,692,185","±106,118","37.3%","±0.1"
"        3 or more vehicles available","23,371,426","±78,783","19.9%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","117,259,427","±146,938","117,259,427","(X)"
"        Utility gas","56,910,483","±94,749","48.5%","±0.1"
"        Bottled, tank, or LP gas","5,574,923","±44,356","4.8%","±0.1"
"        Electricity","43,894,010","±68,204","37.4%","±0.1"
"        Fuel oil, kerosene, etc.","6,215,053","±29,401","5.3%","±0.1"
"        Coal or coke","133,973","±5,070","0.1%","±0.1"
"        Wood","2,489,667","±25,901","2.1%","±0.1"
"        Solar energy","82,702","±3,618","0.1%","±0.1"
"        Other fuel","591,367","±10,941","0.5%","±0.1"
"        No fuel used","1,367,249","±15,381","1.2%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","117,259,427","±146,938","117,259,427","(X)"
"        Lacking complete plumbing facilities","480,278","±10,984","0.4%","±0.1"
"        Lacking complete kitchen facilities","957,012","±13,164","0.8%","±0.1"
"        No telephone service available","2,767,159","±29,476","2.4%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","117,259,427","±146,938","117,259,427","(X)"
"        1.00 or less","113,329,360","±158,015","96.6%","±0.1"
"        1.01 to 1.50","2,793,845","±23,338","2.4%","±0.1"
"        1.51 or more","1,136,222","±16,906","1.0%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","73,991,995","±217,875","73,991,995","(X)"
"        Less than $50,000","7,252,803","±45,389","9.8%","±0.1"
"        $50,000 to $99,999","10,984,718","±66,292","14.8%","±0.1"
"        $100,000 to $149,999","11,238,389","±60,541","15.2%","±0.1"
"        $150,000 to $199,999","10,866,782","±50,444","14.7%","±0.1"
"        $200,000 to $299,999","13,431,171","±59,101","18.2%","±0.1"
"        $300,000 to $499,999","11,936,757","±49,625","16.1%","±0.1"
"        $500,000 to $999,999","6,510,385","±32,257","8.8%","±0.1"
"        $1,000,000 or more","1,770,990","±18,288","2.4%","±0.1"
"        Median (dollars)","181,200","±337","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","73,991,995","±217,875","73,991,995","(X)"
"        Housing units with a mortgage","47,174,889","±136,858","63.8%","±0.1"
"        Housing units without a mortgage","26,817,106","±104,591","36.2%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","47,174,889","±136,858","47,174,889","(X)"
"        Less than $300","120,134","±4,685","0.3%","±0.1"
"        $300 to $499","839,536","±13,089","1.8%","±0.1"
"        $500 to $699","2,630,795","±25,676","5.6%","±0.1"
"        $700 to $999","7,423,684","±45,230","15.7%","±0.1"
"        $1,000 to $1,499","13,763,213","±64,942","29.2%","±0.1"
"        $1,500 to $1,999","9,372,071","±46,804","19.9%","±0.1"
"        $2,000 or more","13,025,456","±54,014","27.6%","±0.1"
"        Median (dollars)","1,454","±2","(X)","(X)"
"    Housing units without a mortgage","26,817,106","±104,591","26,817,106","(X)"
"        Less than $100","358,839","±8,845","1.3%","±0.1"
"        $100 to $199","1,790,007","±20,539","6.7%","±0.1"
"        $200 to $299","3,931,708","±31,088","14.7%","±0.1"
"        $300 to $399","4,792,429","±38,055","17.9%","±0.1"
"        $400 or more","15,944,123","±60,312","59.5%","±0.1"
"        Median (dollars)","459","±1","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","46,931,487","±136,602","46,931,487","(X)"
"        Less than 20.0 percent","19,757,463","±84,440","42.1%","±0.1"
"        20.0 to 24.9 percent","7,495,767","±38,998","16.0%","±0.1"
"        25.0 to 29.9 percent","5,211,212","±31,894","11.1%","±0.1"
"        30.0 to 34.9 percent","3,483,948","±28,459","7.4%","±0.1"
"        35.0 percent or more","10,983,097","±47,177","23.4%","±0.1"
"    Not computed","243,402","±7,924","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","26,452,227","±103,041","26,452,227","(X)"
"        Less than 10.0 percent","11,151,534","±61,926","42.2%","±0.1"
"        10.0 to 14.9 percent","5,192,041","±38,304","19.6%","±0.1"
"        15.0 to 19.9 percent","3,093,851","±27,910","11.7%","±0.1"
"        20.0 to 24.9 percent","1,912,033","±17,668","7.2%","±0.1"
"        25.0 to 29.9 percent","1,235,296","±15,376","4.7%","±0.1"
"        30.0 to 34.9 percent","853,236","±12,835","3.2%","±0.1"
"        35.0 percent or more","3,014,236","±26,886","11.4%","±0.1"
"    Not computed","364,879","±11,511","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","40,975,355","±104,834","40,975,355","(X)"
"        Less than $200","577,389","±13,639","1.4%","±0.1"
"        $200 to $299","1,261,010","±17,609","3.1%","±0.1"
"        $300 to $499","2,885,512","±26,987","7.0%","±0.1"
"        $500 to $749","8,349,065","±41,947","20.4%","±0.1"
"        $750 to $999","9,876,661","±56,038","24.1%","±0.1"
"        $1,000 to $1,499","11,155,248","±59,640","27.2%","±0.1"
"        $1,500 or more","6,870,470","±42,900","16.8%","±0.1"
"        Median (dollars)","934","±2","(X)","(X)"
"    No rent paid","2,292,077","±25,121","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,002,893","±102,511","40,002,893","(X)"
"        Less than 15.0 percent","4,810,586","±33,564","12.0%","±0.1"
"        15.0 to 19.9 percent","4,908,360","±38,245","12.3%","±0.1"
"        20.0 to 24.9 percent","5,029,613","±39,083","12.6%","±0.1"
"        25.0 to 29.9 percent","4,546,505","±32,894","11.4%","±0.1"
"        30.0 to 34.9 percent","3,684,115","±33,833","9.2%","±0.1"
"        35.0 percent or more","17,023,714","±60,430","42.6%","±0.1"
"    Not computed","3,264,539","±30,207","(X)","(X)"
