"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        5 rooms","27,032,449","±96,424","20.4%","±0.1"
"        6 rooms","23,838,718","±64,490","17.9%","±0.1"
"        7 rooms","16,245,553","±59,230","12.2%","±0.1"
"        8 rooms","11,167,562","±55,250","8.4%","±0.1"
"        9 rooms or more","14,378,090","±75,148","10.8%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","132,808,137","±2,879","132,808,137","(X)"
"        No bedroom","2,915,533","±33,574","2.2%","±0.1"
"        1 bedroom","14,824,824","±59,602","11.2%","±0.1"
"        2 bedrooms","35,402,532","±79,993","26.7%","±0.1"
"        3 bedrooms","52,571,177","±87,717","39.6%","±0.1"
"        4 bedrooms","21,419,270","±62,307","16.1%","±0.1"
"        5 or more bedrooms","5,674,801","±31,251","4.3%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","116,291,033","±141,632","116,291,033","(X)"
"        Owner-occupied","73,843,861","±212,871","63.5%","±0.1"
"        Renter-occupied","42,447,172","±119,774","36.5%","±0.1"
"    Average household size of owner-occupied unit","2.71","±0.01","(X)","(X)"
"    Average household size of renter-occupied unit","2.54","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","116,291,033","±141,632","116,291,033","(X)"
"        Moved in 2010 or later","38,743,337","±84,375","33.3%","±0.1"
"        Moved in 2000 to 2009","40,396,668","±93,453","34.7%","±0.1"
"        Moved in 1990 to 1999","18,144,123","±72,272","15.6%","±0.1"
"        Moved in 1980 to 1989","8,767,228","±45,786","7.5%","±0.1"
"        Moved in 1970 to 1979","5,840,431","±37,532","5.0%","±0.1"
"        Moved in 1969 or earlier","4,399,246","±25,977","3.8%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","116,291,033","±141,632","116,291,033","(X)"
"        No vehicles available","10,574,080","±45,838","9.1%","±0.1"
"        1 vehicle available","39,476,887","±86,405","33.9%","±0.1"
"        2 vehicles available","43,329,821","±99,372","37.3%","±0.1"
"        3 or more vehicles available","22,910,245","±72,508","19.7%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","116,291,033","±141,632","116,291,033","(X)"
"        Utility gas","56,211,490","±106,658","48.3%","±0.1"
"        Bottled, tank, or LP gas","5,631,377","±43,743","4.8%","±0.1"
"        Electricity","43,485,981","±82,057","37.4%","±0.1"
"        Fuel oil, kerosene, etc.","6,413,274","±34,959","5.5%","±0.1"
"        Coal or coke","135,764","±5,359","0.1%","±0.1"
"        Wood","2,474,151","±22,815","2.1%","±0.1"
"        Solar energy","72,707","±3,406","0.1%","±0.1"
"        Other fuel","580,936","±13,224","0.5%","±0.1"
"        No fuel used","1,285,353","±14,311","1.1%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","116,291,033","±141,632","116,291,033","(X)"
"        Lacking complete plumbing facilities","471,155","±11,235","0.4%","±0.1"
"        Lacking complete kitchen facilities","967,865","±17,672","0.8%","±0.1"
"        No telephone service available","2,661,306","±26,666","2.3%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","116,291,033","±141,632","116,291,033","(X)"
"        1.00 or less","112,401,764","±153,305","96.7%","±0.1"
"        1.01 to 1.50","2,729,547","±30,333","2.3%","±0.1"
"        1.51 or more","1,159,722","±17,285","1.0%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","73,843,861","±212,871","73,843,861","(X)"
"        Less than $50,000","7,460,862","±44,493","10.1%","±0.1"
"        $50,000 to $99,999","11,528,358","±65,487","15.6%","±0.1"
"        $100,000 to $149,999","11,684,610","±59,255","15.8%","±0.1"
"        $150,000 to $199,999","11,051,448","±59,159","15.0%","±0.1"
"        $200,000 to $299,999","13,228,396","±60,307","17.9%","±0.1"
"        $300,000 to $499,999","11,362,403","±46,285","15.4%","±0.1"
"        $500,000 to $999,999","5,969,759","±29,627","8.1%","±0.1"
"        $1,000,000 or more","1,558,025","±17,313","2.1%","±0.1"
"        Median (dollars)","173,900","±224","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","73,843,861","±212,871","73,843,861","(X)"
"        Housing units with a mortgage","47,498,648","±138,126","64.3%","±0.1"
"        Housing units without a mortgage","26,345,213","±111,670","35.7%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","47,498,648","±138,126","47,498,648","(X)"
"        Less than $300","137,560","±4,853","0.3%","±0.1"
"        $300 to $499","945,324","±14,637","2.0%","±0.1"
"        $500 to $699","2,877,255","±27,634","6.1%","±0.1"
"        $700 to $999","7,685,285","±44,399","16.2%","±0.1"
"        $1,000 to $1,499","13,759,590","±66,447","29.0%","±0.1"
"        $1,500 to $1,999","9,275,923","±52,378","19.5%","±0.1"
"        $2,000 or more","12,817,711","±48,924","27.0%","±0.1"
"        Median (dollars)","1,436","±2","(X)","(X)"
"    Housing units without a mortgage","26,345,213","±111,670","26,345,213","(X)"
"        Less than $100","370,668","±9,435","1.4%","±0.1"
"        $100 to $199","1,981,806","±19,369","7.5%","±0.1"
"        $200 to $299","4,208,221","±33,302","16.0%","±0.1"
"        $300 to $399","4,952,188","±36,055","18.8%","±0.1"
"        $400 or more","14,832,330","±67,221","56.3%","±0.1"
"        Median (dollars)","439","±1","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","47,232,893","±138,420","47,232,893","(X)"
"        Less than 20.0 percent","19,449,663","±84,098","41.2%","±0.1"
"        20.0 to 24.9 percent","7,487,577","±43,323","15.9%","±0.1"
"        25.0 to 29.9 percent","5,303,266","±38,872","11.2%","±0.1"
"        30.0 to 34.9 percent","3,599,179","±34,400","7.6%","±0.1"
"        35.0 percent or more","11,393,208","±44,798","24.1%","±0.1"
"    Not computed","265,755","±9,954","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","25,987,400","±111,042","25,987,400","(X)"
"        Less than 10.0 percent","11,117,891","±63,071","42.8%","±0.1"
"        10.0 to 14.9 percent","5,119,948","±32,732","19.7%","±0.1"
"        15.0 to 19.9 percent","3,008,726","±27,279","11.6%","±0.1"
"        20.0 to 24.9 percent","1,852,930","±20,038","7.1%","±0.1"
"        25.0 to 29.9 percent","1,193,100","±14,098","4.6%","±0.1"
"        30.0 to 34.9 percent","816,886","±13,952","3.1%","±0.1"
"        35.0 percent or more","2,877,919","±26,664","11.1%","±0.1"
"    Not computed","357,813","±9,822","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","40,205,415","±115,966","40,205,415","(X)"
"        Less than $200","645,613","±12,520","1.6%","±0.1"
"        $200 to $299","1,287,631","±19,739","3.2%","±0.1"
"        $300 to $499","3,087,423","±29,626","7.7%","±0.1"
"        $500 to $749","8,781,321","±54,429","21.8%","±0.1"
"        $750 to $999","9,766,832","±50,756","24.3%","±0.1"
"        $1,000 to $1,499","10,494,816","±58,732","26.1%","±0.1"
"        $1,500 or more","6,141,779","±43,118","15.3%","±0.1"
"        Median (dollars)","905","±2","(X)","(X)"
"    No rent paid","2,241,757","±23,841","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","39,242,039","±115,413","39,242,039","(X)"
"        Less than 15.0 percent","4,767,140","±41,651","12.1%","±0.1"
"        15.0 to 19.9 percent","4,811,040","±38,327","12.3%","±0.1"
"        20.0 to 24.9 percent","4,929,116","±36,500","12.6%","±0.1"
"        25.0 to 29.9 percent","4,513,551","±35,052","11.5%","±0.1"
"        30.0 to 34.9 percent","3,550,623","±35,913","9.0%","±0.1"
"        35.0 percent or more","16,670,569","±69,642","42.5%","±0.1"
"    Not computed","3,205,133","±31,595","(X)","(X)"
