"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        $200,000 to $299,999","16,079,298","±71,992","20.4%","±0.1"
"        $300,000 to $499,999","16,870,733","±71,160","21.4%","±0.1"
"        $500,000 to $999,999","10,294,023","±46,049","13.1%","±0.1"
"        $1,000,000 or more","3,097,680","±22,045","3.9%","±0.1"
"        Median (dollars)","240,500","±451","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","78,724,862","±240,723","78,724,862","(X)"
"        Housing units with a mortgage","48,603,972","±159,096","61.7%","±0.1"
"        Housing units without a mortgage","30,120,890","±116,759","38.3%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","48,603,972","±159,096","48,603,972","(X)"
"        Less than $500","600,457","±12,196","1.2%","±0.1"
"        $500 to $999","8,240,640","±56,855","17.0%","±0.1"
"        $1,000 to $1,499","13,015,189","±64,166","26.8%","±0.1"
"        $1,500 to $1,999","10,146,031","±49,098","20.9%","±0.1"
"        $2,000 to $2,499","6,401,140","±43,415","13.2%","±0.1"
"        $2,500 to $2,999","3,917,090","±28,946","8.1%","±0.1"
"        $3,000 or more","6,283,425","±38,216","12.9%","±0.1"
"        Median (dollars)","1,609","±2","(X)","(X)"
"    Housing units without a mortgage","30,120,890","±116,759","30,120,890","(X)"
"        Less than $250","3,463,562","±31,403","11.5%","±0.1"
"        $250 to $399","6,825,038","±46,068","22.7%","±0.1"
"        $400 to $599","8,397,029","±48,469","27.9%","±0.1"
"        $600 to $799","5,049,841","±31,524","16.8%","±0.1"
"        $800 to $999","2,680,349","±27,896","8.9%","±0.1"
"        $1,000 or more","3,705,071","±31,566","12.3%","±0.1"
"        Median (dollars)","505","±2","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","48,403,285","±159,326","48,403,285","(X)"
"        Less than 20.0 percent","23,020,723","±100,315","47.6%","±0.1"
"        20.0 to 24.9 percent","7,539,822","±48,373","15.6%","±0.1"
"        25.0 to 29.9 percent","4,961,214","±42,715","10.2%","±0.1"
"        30.0 to 34.9 percent","3,254,327","±28,023","6.7%","±0.1"
"        35.0 percent or more","9,627,199","±51,077","19.9%","±0.1"
"        Not computed","200,687","±7,390","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","29,755,478","±114,890","29,755,478","(X)"
"        Less than 10.0 percent","14,013,456","±81,416","47.1%","±0.2"
"        10.0 to 14.9 percent","5,741,021","±34,778","19.3%","±0.1"
"        15.0 to 19.9 percent","3,163,230","±28,617","10.6%","±0.1"
"        20.0 to 24.9 percent","1,890,633","±23,311","6.4%","±0.1"
"        25.0 to 29.9 percent","1,216,693","±16,467","4.1%","±0.1"
"        30.0 to 34.9 percent","802,195","±14,591","2.7%","±0.1"
"        35.0 percent or more","2,928,250","±27,884","9.8%","±0.1"
"        Not computed","365,412","±11,671","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","41,946,055","±133,579","41,946,055","(X)"
"        Less than $500","3,855,102","±31,758","9.2%","±0.1"
"        $500 to $999","14,289,538","±65,261","34.1%","±0.1"
"        $1,000 to $1,499","12,560,699","±63,049","29.9%","±0.1"
"        $1,500 to $1,999","6,358,202","±48,753","15.2%","±0.1"
"        $2,000 to $2,499","2,617,659","±29,229","6.2%","±0.1"
"        $2,500 to $2,999","1,149,118","±18,981","2.7%","±0.1"
"        $3,000 or more","1,115,737","±15,750","2.7%","±0.1"
"        Median (dollars)","1,097","±2","(X)","(X)"
"        No rent paid","2,131,935","±23,513","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","41,048,717","±130,700","41,048,717","(X)"
"        Less than 15.0 percent","5,663,393","±38,601","13.8%","±0.1"
"        15.0 to 19.9 percent","5,374,492","±49,024","13.1%","±0.1"
"        20.0 to 24.9 percent","5,348,428","±44,680","13.0%","±0.1"
"        25.0 to 29.9 percent","4,780,865","±40,293","11.6%","±0.1"
"        30.0 to 34.9 percent","3,728,405","±33,960","9.1%","±0.1"
"        35.0 percent or more","16,153,134","±78,343","39.4%","±0.1"
"        Not computed","3,029,273","±31,214","(X)","(X)"
