"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        1 room","3,210,560","±31,675","2.4%","±0.1"
"        2 rooms","3,601,307","±27,467","2.7%","±0.1"
"        3 rooms","12,284,459","±66,964","9.1%","±0.1"
"        4 rooms","22,401,468","±86,668","16.5%","±0.1"
"        5 rooms","26,904,903","±81,719","19.8%","±0.1"
"        6 rooms","24,210,421","±71,977","17.8%","±0.1"
"        7 rooms","16,308,849","±65,232","12.0%","±0.1"
"        8 rooms","11,652,987","±61,786","8.6%","±0.1"
"        9 rooms or more","15,127,821","±75,323","11.1%","±0.1"
"        Median rooms","5.5","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","135,702,775","±3,052","135,702,775","(X)"
"        No bedroom","3,502,955","±31,822","2.6%","±0.1"
"        1 bedroom","14,797,630","±56,783","10.9%","±0.1"
"        2 bedrooms","35,548,036","±98,111","26.2%","±0.1"
"        3 bedrooms","53,371,435","±87,469","39.3%","±0.1"
"        4 bedrooms","22,555,072","±78,385","16.6%","±0.1"
"        5 or more bedrooms","5,927,647","±33,622","4.4%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","118,860,065","±154,606","118,860,065","(X)"
"        Owner-occupied","75,022,569","±227,992","63.1%","±0.1"
"        Renter-occupied","43,837,496","±103,352","36.9%","±0.1"
"    Average household size of owner-occupied unit","2.72","±0.01","(X)","(X)"
"    Average household size of renter-occupied unit","2.53","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","118,860,065","±154,606","118,860,065","(X)"
"        Moved in 2015 or later","22,676,353","±76,896","19.1%","±0.1"
"        Moved in 2010 to 2014","33,327,504","±78,582","28.0%","±0.1"
"        Moved in 2000 to 2009","30,748,964","±94,732","25.9%","±0.1"
"        Moved in 1990 to 1999","15,714,679","±62,318","13.2%","±0.1"
"        Moved in 1980 to 1989","7,750,730","±38,562","6.5%","±0.1"
"        Moved in 1979 and earlier","8,641,835","±42,439","7.3%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","118,860,065","±154,606","118,860,065","(X)"
"        No vehicles available","10,364,975","±50,267","8.7%","±0.1"
"        1 vehicle available","39,441,364","±91,114","33.2%","±0.1"
"        2 vehicles available","44,136,897","±129,105","37.1%","±0.1"
"        3 or more vehicles available","24,916,829","±81,798","21.0%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","118,860,065","±154,606","118,860,065","(X)"
"        Utility gas","57,123,238","±99,588","48.1%","±0.1"
"        Bottled, tank, or LP gas","5,546,783","±42,400","4.7%","±0.1"
"        Electricity","46,043,084","±82,513","38.7%","±0.1"
"        Fuel oil, kerosene, etc.","5,743,879","±28,807","4.8%","±0.1"
"        Coal or coke","122,728","±5,431","0.1%","±0.1"
"        Wood","2,201,269","±20,376","1.9%","±0.1"
"        Solar energy","150,824","±5,202","0.1%","±0.1"
"        Other fuel","584,505","±10,632","0.5%","±0.1"
"        No fuel used","1,343,755","±19,410","1.1%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","118,860,065","±154,606","118,860,065","(X)"
"        Lacking complete plumbing facilities","443,812","±9,257","0.4%","±0.1"
"        Lacking complete kitchen facilities","991,117","±15,116","0.8%","±0.1"
"        No telephone service available","3,574,450","±34,290","3.0%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","118,860,065","±154,606","118,860,065","(X)"
"        1.00 or less","114,792,380","±169,160","96.6%","±0.1"
"        1.01 to 1.50","2,745,793","±29,598","2.3%","±0.1"
"        1.51 or more","1,321,892","±18,620","1.1%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","75,022,569","±227,992","75,022,569","(X)"
"        Less than $50,000","5,449,804","±42,497","7.3%","±0.1"
"        $50,000 to $99,999","9,793,661","±62,491","13.1%","±0.1"
"        $100,000 to $149,999","10,607,419","±56,788","14.1%","±0.1"
"        $150,000 to $199,999","10,868,207","±56,388","14.5%","±0.1"
"        $200,000 to $299,999","14,436,085","±60,329","19.2%","±0.1"
"        $300,000 to $499,999","13,687,633","±56,661","18.2%","±0.1"
"        $500,000 to $999,999","7,888,270","±35,869","10.5%","±0.1"
"        $1,000,000 or more","2,291,490","±19,306","3.1%","±0.1"
"        Median (dollars)","205,000","±467","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","75,022,569","±227,992","75,022,569","(X)"
"        Housing units with a mortgage","47,295,137","±142,942","63.0%","±0.1"
"        Housing units without a mortgage","27,727,432","±112,623","37.0%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","47,295,137","±142,942","47,295,137","(X)"
"        Less than $500","738,509","±12,894","1.6%","±0.1"
"        $500 to $999","9,638,954","±58,836","20.4%","±0.1"
"        $1,000 to $1,499","13,636,477","±66,029","28.8%","±0.1"
"        $1,500 to $1,999","9,520,739","±44,555","20.1%","±0.1"
"        $2,000 to $2,499","5,595,593","±36,048","11.8%","±0.1"
"        $2,500 to $2,999","3,295,774","±23,340","7.0%","±0.1"
"        $3,000 or more","4,869,091","±29,712","10.3%","±0.1"
"        Median (dollars)","1,486","±2","(X)","(X)"
"    Housing units without a mortgage","27,727,432","±112,623","27,727,432","(X)"
"        Less than $250","3,789,088","±32,129","13.7%","±0.1"
"        $250 to $399","7,134,649","±49,179","25.7%","±0.1"
"        $400 to $599","7,963,242","±47,443","28.7%","±0.1"
"        $600 to $799","4,158,909","±31,015","15.0%","±0.1"
"        $800 to $999","2,042,542","±20,234","7.4%","±0.1"
"        $1,000 or more","2,639,002","±20,999","9.5%","±0.1"
"        Median (dollars)","466","±2","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","47,047,616","±142,995","47,047,616","(X)"
"        Less than 20.0 percent","21,379,465","±80,323","45.4%","±0.1"
"        20.0 to 24.9 percent","7,388,553","±43,492","15.7%","±0.1"
"        25.0 to 29.9 percent","4,969,493","±37,767","10.6%","±0.1"
"        30.0 to 34.9 percent","3,275,961","±28,431","7.0%","±0.1"
"        35.0 percent or more","10,034,144","±44,557","21.3%","±0.1"
"    Not computed","247,521","±7,684","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","27,321,509","±110,994","27,321,509","(X)"
"        Less than 10.0 percent","12,150,353","±72,507","44.5%","±0.1"
"        10.0 to 14.9 percent","5,326,979","±35,590","19.5%","±0.1"
"        15.0 to 19.9 percent","3,076,093","±24,950","11.3%","±0.1"
"        20.0 to 24.9 percent","1,855,157","±20,468","6.8%","±0.1"
"        25.0 to 29.9 percent","1,200,863","±15,267","4.4%","±0.1"
"        30.0 to 34.9 percent","805,171","±12,368","2.9%","±0.1"
"        35.0 percent or more","2,906,893","±25,289","10.6%","±0.1"
"    Not computed","405,923","±9,169","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","41,631,261","±102,328","41,631,261","(X)"
"        Less than $500","4,454,526","±31,168","10.7%","±0.1"
"        $500 to $999","17,073,774","±68,198","41.0%","±0.1"
"        $1,000 to $1,499","11,798,988","±60,981","28.3%","±0.1"
"        $1,500 to $1,999","4,938,359","±34,308","11.9%","±0.1"
"        $2,000 to $2,499","1,847,581","±23,759","4.4%","±0.1"
"        $2,500 to $2,999","770,286","±15,265","1.9%","±0.1"
"        $3,000 or more","747,747","±14,669","1.8%","±0.1"
"        Median (dollars)","981","±2","(X)","(X)"
"    No rent paid","2,206,235","±20,949","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,657,272","±98,727","40,657,272","(X)"
"        Less than 15.0 percent","5,308,981","±36,949","13.1%","±0.1"
"        15.0 to 19.9 percent","5,230,549","±42,121","12.9%","±0.1"
"        20.0 to 24.9 percent","5,209,073","±42,123","12.8%","±0.1"
"        25.0 to 29.9 percent","4,689,605","±37,312","11.5%","±0.1"
"        30.0 to 34.9 percent","3,665,564","±28,369","9.0%","±0.1"
"        35.0 percent or more","16,553,500","±68,249","40.7%","±0.1"
"    Not computed","3,180,224","±26,842","(X)","(X)"
