"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","115,969,540","±150,555","115,969,540","(X)"
"    No vehicles available","10,689,431","±37,853","9.2%","±0.1"
"    1 vehicle available","39,574,983","±87,684","34.1%","±0.1"
"    2 vehicles available","43,295,903","±103,206","37.3%","±0.1"
"    3 or more vehicles available","22,409,223","±72,075","19.3%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","115,969,540","±150,555","115,969,540","(X)"
"    Utility gas","56,539,016","±94,783","48.8%","±0.1"
"    Bottled, tank, or LP gas","5,542,387","±45,108","4.8%","±0.1"
"    Electricity","42,846,023","±74,703","36.9%","±0.1"
"    Fuel oil, kerosene, etc.","6,809,676","±34,762","5.9%","±0.1"
"    Coal or coke","132,151","±5,038","0.1%","±0.1"
"    Wood","2,487,241","±24,120","2.1%","±0.1"
"    Solar energy","47,976","±2,991","0.0%","±0.1"
"    Other fuel","520,565","±9,789","0.4%","±0.1"
"    No fuel used","1,044,505","±14,735","0.9%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","115,969,540","±150,555","115,969,540","(X)"
"    Lacking complete plumbing facilities","435,710","±11,167","0.4%","±0.1"
"    Lacking complete kitchen facilities","924,522","±14,767","0.8%","±0.1"
"    No telephone service available","2,988,112","±28,912","2.6%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","115,969,540","±150,555","115,969,540","(X)"
"    1.00 or less","112,132,529","±158,286","96.7%","±0.1"
"    1.01 to 1.50","2,710,941","±25,715","2.3%","±0.1"
"    1.51 or more","1,126,070","±18,969","1.0%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","74,119,256","±204,618","74,119,256","(X)"
"    Less than $50,000","6,784,356","±45,203","9.2%","±0.1"
"    $50,000 to $99,999","12,100,148","±64,404","16.3%","±0.1"
"    $100,000 to $149,999","12,245,474","±54,740","16.5%","±0.1"
"    $150,000 to $199,999","11,370,120","±58,404","15.3%","±0.1"
"    $200,000 to $299,999","13,393,416","±53,010","18.1%","±0.1"
"    $300,000 to $499,999","11,068,593","±44,464","14.9%","±0.1"
"    $500,000 to $999,999","5,696,677","±32,349","7.7%","±0.1"
"    $1,000,000 or more","1,460,472","±15,379","2.0%","±0.1"
"    Median (dollars)","171,900","±257","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","74,119,256","±204,618","74,119,256","(X)"
"    Housing units with a mortgage","48,726,257","±132,898","65.7%","±0.1"
"    Housing units without a mortgage","25,392,999","±101,183","34.3%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","48,726,257","±132,898","48,726,257","(X)"
"    Less than $300","100,603","±4,352","0.2%","±0.1"
"    $300 to $499","907,617","±14,798","1.9%","±0.1"
"    $500 to $699","2,791,709","±26,912","5.7%","±0.1"
"    $700 to $999","7,617,103","±47,072","15.6%","±0.1"
"    $1,000 to $1,499","14,002,995","±57,754","28.7%","±0.1"
"    $1,500 to $1,999","9,658,799","±44,122","19.8%","±0.1"
"    $2,000 or more","13,647,431","±47,437","28.0%","±0.1"
"    Median (dollars)","1,460","±2","(X)","(X)"
"    Housing units without a mortgage","25,392,999","±101,183","25,392,999","(X)"
"    Less than $100","318,875","±7,172","1.3%","±0.1"
"    $100 to $199","1,927,740","±21,067","7.6%","±0.1"
"    $200 to $299","4,165,055","±34,123","16.4%","±0.1"
"    $300 to $399","4,897,726","±36,364","19.3%","±0.1"
"    $400 or more","14,083,603","±56,662","55.5%","±0.1"
"    Median (dollars)","434","±1","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","48,475,878","±133,811","48,475,878","(X)"
"    Less than 20.0 percent","18,511,789","±78,965","38.2%","±0.1"
"    20.0 to 24.9 percent","7,834,722","±43,020","16.2%","±0.1"
"    25.0 to 29.9 percent","5,693,837","±35,669","11.7%","±0.1"
"    30.0 to 34.9 percent","3,950,995","±31,306","8.2%","±0.1"
"    35.0 percent or more","12,484,535","±54,996","25.8%","±0.1"
"    Not computed","250,379","±6,977","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","25,063,787","±99,099","25,063,787","(X)"
"    Less than 10.0 percent","10,245,634","±53,652","40.9%","±0.1"
"    10.0 to 14.9 percent","4,988,873","±33,780","19.9%","±0.1"
"    15.0 to 19.9 percent","3,004,519","±24,949","12.0%","±0.1"
"    20.0 to 24.9 percent","1,863,562","±19,886","7.4%","±0.1"
"    25.0 to 29.9 percent","1,236,236","±14,258","4.9%","±0.1"
"    30.0 to 34.9 percent","838,838","±14,153","3.3%","±0.1"
"    35.0 percent or more","2,886,125","±22,253","11.5%","±0.1"
"    Not computed","329,212","±8,219","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","39,629,329","±100,083","39,629,329","(X)"
"    Less than $200","721,831","±13,855","1.8%","±0.1"
"    $200 to $299","1,276,784","±15,018","3.2%","±0.1"
"    $300 to $499","3,266,904","±24,886","8.2%","±0.1"
"    $500 to $749","9,127,518","±43,009","23.0%","±0.1"
"    $750 to $999","9,634,214","±51,875","24.3%","±0.1"
"    $1,000 to $1,499","10,001,083","±44,209","25.2%","±0.1"
"    $1,500 or more","5,600,995","±38,324","14.1%","±0.1"
"    Median (dollars)","884","±2","(X)","(X)"
"    No rent paid","2,220,955","±24,856","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","38,681,971","±98,311","38,681,971","(X)"
"    Less than 15.0 percent","4,574,966","±38,358","11.8%","±0.1"
"    15.0 to 19.9 percent","4,708,840","±38,335","12.2%","±0.1"
"    20.0 to 24.9 percent","4,820,400","±33,703","12.5%","±0.1"
"    25.0 to 29.9 percent","4,458,671","±28,851","11.5%","±0.1"
"    30.0 to 34.9 percent","3,455,267","±30,821","8.9%","±0.1"
"    35.0 percent or more","16,663,827","±63,611","43.1%","±0.1"
"    Not computed","3,168,313","±24,874","(X)","(X)"
