"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        Less than $250","3,386,630","±30,108","11.4%","±0.1"
"        $250 to $399","6,873,209","±46,115","23.2%","±0.1"
"        $400 to $599","8,456,858","±50,726","28.6%","±0.1"
"        $600 to $799","4,902,082","±34,457","16.6%","±0.1"
"        $800 to $999","2,518,408","±25,254","8.5%","±0.1"
"        $1,000 or more","3,445,105","±26,443","11.6%","±0.1"
"        Median (dollars)","498","±1","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","47,895,325","±152,089","47,895,325","(X)"
"        Less than 20.0 percent","22,156,495","±98,161","46.3%","±0.1"
"        20.0 to 24.9 percent","7,471,136","±48,267","15.6%","±0.1"
"        25.0 to 29.9 percent","4,999,113","±38,615","10.4%","±0.1"
"        30.0 to 34.9 percent","3,266,671","±26,480","6.8%","±0.1"
"        35.0 percent or more","10,001,910","±47,603","20.9%","±0.1"
"        Not computed","230,777","±8,571","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","29,171,405","±109,027","29,171,405","(X)"
"        Less than 10.0 percent","12,936,694","±77,313","44.3%","±0.2"
"        10.0 to 14.9 percent","5,646,328","±40,935","19.4%","±0.1"
"        15.0 to 19.9 percent","3,255,735","±24,155","11.2%","±0.1"
"        20.0 to 24.9 percent","1,968,363","±22,557","6.7%","±0.1"
"        25.0 to 29.9 percent","1,284,493","±18,861","4.4%","±0.1"
"        30.0 to 34.9 percent","885,176","±17,820","3.0%","±0.1"
"        35.0 percent or more","3,194,616","±28,624","11.0%","±0.1"
"        Not computed","410,887","±9,703","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","41,666,884","±126,404","41,666,884","(X)"
"        Less than $500","3,996,126","±32,597","9.6%","±0.1"
"        $500 to $999","15,139,714","±70,257","36.3%","±0.1"
"        $1,000 to $1,499","12,399,104","±63,732","29.8%","±0.1"
"        $1,500 to $1,999","5,849,310","±40,554","14.0%","±0.1"
"        $2,000 to $2,499","2,334,183","±30,355","5.6%","±0.1"
"        $2,500 to $2,999","1,007,616","±16,264","2.4%","±0.1"
"        $3,000 or more","940,831","±18,047","2.3%","±0.1"
"        Median (dollars)","1,058","±2","(X)","(X)"
"        No rent paid","2,144,902","±27,468","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,717,233","±125,227","40,717,233","(X)"
"        Less than 15.0 percent","5,307,661","±41,343","13.0%","±0.1"
"        15.0 to 19.9 percent","5,232,351","±46,398","12.9%","±0.1"
"        20.0 to 24.9 percent","5,219,934","±42,193","12.8%","±0.1"
"        25.0 to 29.9 percent","4,724,873","±47,100","11.6%","±0.1"
"        30.0 to 34.9 percent","3,686,373","±34,023","9.1%","±0.1"
"        35.0 percent or more","16,546,041","±77,120","40.6%","±0.1"
"        Not computed","3,094,553","±34,270","(X)","(X)"
