"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        $1,500 to $1,999","4,569,024","±36,134","11.0%","±0.1"
"        $2,000 to $2,499","1,692,357","±19,974","4.1%","±0.1"
"        $2,500 to $2,999","695,922","±13,296","1.7%","±0.1"
"        $3,000 or more","636,233","±11,643","1.5%","±0.1"
"        Median (dollars)","959","±2","(X)","(X)"
"    No rent paid","2,291,566","±23,562","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,414,066","±113,203","40,414,066","(X)"
"        Less than 15.0 percent","5,098,574","±41,626","12.6%","±0.1"
"        15.0 to 19.9 percent","5,061,238","±40,108","12.5%","±0.1"
"        20.0 to 24.9 percent","5,174,906","±38,970","12.8%","±0.1"
"        25.0 to 29.9 percent","4,635,718","±34,250","11.5%","±0.1"
"        30.0 to 34.9 percent","3,708,164","±28,668","9.2%","±0.1"
"        35.0 percent or more","16,735,466","±67,765","41.4%","±0.1"
"    Not computed","3,287,672","±27,342","(X)","(X)"
