"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    Moved in 2000 to 2004","18,616,272","±75,450","16.2%","±0.1"
"    Moved in 1990 to 1999","20,023,585","±90,505","17.4%","±0.1"
"    Moved in 1980 to 1989","9,479,127","±50,453","8.2%","±0.1"
"    Moved in 1970 to 1979","6,321,896","±39,047","5.5%","±0.1"
"    Moved in 1969 or earlier","5,062,078","±35,481","4.4%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","114,991,725","±179,541","114,991,725","(X)"
"    No vehicles available","10,680,756","±45,225","9.3%","±0.1"
"    1 vehicle available","39,218,050","±90,942","34.1%","±0.1"
"    2 vehicles available","43,078,925","±121,298","37.5%","±0.1"
"    3 or more vehicles available","22,013,994","±80,056","19.1%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","114,991,725","±179,541","114,991,725","(X)"
"    Utility gas","56,376,942","±111,059","49.0%","±0.1"
"    Bottled, tank, or LP gas","5,610,519","±44,118","4.9%","±0.1"
"    Electricity","41,760,086","±92,014","36.3%","±0.1"
"    Fuel oil, kerosene, etc.","7,115,826","±37,116","6.2%","±0.1"
"    Coal or coke","132,597","±5,320","0.1%","±0.1"
"    Wood","2,423,675","±21,697","2.1%","±0.1"
"    Solar energy","49,064","±3,230","0.0%","±0.1"
"    Other fuel","508,896","±12,148","0.4%","±0.1"
"    No fuel used","1,014,120","±13,916","0.9%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","114,991,725","±179,541","114,991,725","(X)"
"    Lacking complete plumbing facilities","678,556","±16,380","0.6%","±0.1"
"    Lacking complete kitchen facilities","1,170,358","±20,419","1.0%","±0.1"
"    No telephone service available","3,041,813","±33,322","2.6%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","114,991,725","±179,541","114,991,725","(X)"
"    1.00 or less","111,149,425","±189,446","96.7%","±0.1"
"    1.01 to 1.50","2,666,152","±32,311","2.3%","±0.1"
"    1.51 or more","1,176,148","±18,541","1.0%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","74,264,435","±230,440","74,264,435","(X)"
"    Less than $50,000","6,538,986","±46,774","8.8%","±0.1"
"    $50,000 to $99,999","11,916,860","±71,426","16.0%","±0.1"
"    $100,000 to $149,999","12,230,945","±63,725","16.5%","±0.1"
"    $150,000 to $199,999","11,437,518","±55,876","15.4%","±0.1"
"    $200,000 to $299,999","13,511,178","±55,854","18.2%","±0.1"
"    $300,000 to $499,999","11,306,069","±49,362","15.2%","±0.1"
"    $500,000 to $999,999","5,850,178","±33,420","7.9%","±0.1"
"    $1,000,000 or more","1,472,701","±17,130","2.0%","±0.1"
"    Median (dollars)","173,600","±252","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","74,264,435","±230,440","74,264,435","(X)"
"    Housing units with a mortgage","49,325,615","±153,067","66.4%","±0.1"
"    Housing units without a mortgage","24,938,820","±111,029","33.6%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","49,325,615","±153,067","49,325,615","(X)"
"    Less than $300","92,699","±5,655","0.2%","±0.1"
"    $300 to $499","863,888","±15,066","1.8%","±0.1"
"    $500 to $699","2,644,439","±28,246","5.4%","±0.1"
"    $700 to $999","7,414,830","±49,431","15.0%","±0.1"
"    $1,000 to $1,499","14,024,451","±69,833","28.4%","±0.1"
"    $1,500 to $1,999","9,935,392","±55,929","20.1%","±0.1"
"    $2,000 or more","14,349,916","±60,867","29.1%","±0.1"
"    Median (dollars)","1,486","±2","(X)","(X)"
"    Housing units without a mortgage","24,938,820","±111,029","24,938,820","(X)"
"    Less than $100","299,215","±9,060","1.2%","±0.1"
"    $100 to $199","1,746,584","±18,484","7.0%","±0.1"
"    $200 to $299","3,933,874","±34,911","15.8%","±0.1"
"    $300 to $399","4,765,321","±40,217","19.1%","±0.1"
"    $400 or more","14,193,826","±66,023","56.9%","±0.2"
"    Median (dollars)","442","±1","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","49,049,732","±153,480","49,049,732","(X)"
"    Less than 20.0 percent","17,109,584","±81,565","34.9%","±0.1"
"    20.0 to 24.9 percent","7,927,721","±54,034","16.2%","±0.1"
"    25.0 to 29.9 percent","5,936,570","±44,342","12.1%","±0.1"
"    30.0 to 34.9 percent","4,275,606","±34,629","8.7%","±0.1"
"    35.0 percent or more","13,800,251","±69,473","28.1%","±0.1"
"    Not computed","275,883","±8,817","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","24,622,554","±110,914","24,622,554","(X)"
"    Less than 10.0 percent","9,448,958","±63,841","38.4%","±0.2"
"    10.0 to 14.9 percent","4,929,304","±34,418","20.0%","±0.1"
"    15.0 to 19.9 percent","3,085,738","±27,905","12.5%","±0.1"
"    20.0 to 24.9 percent","1,956,213","±19,946","7.9%","±0.1"
"    25.0 to 29.9 percent","1,285,160","±17,797","5.2%","±0.1"
"    30.0 to 34.9 percent","878,391","±13,935","3.6%","±0.1"
"    35.0 percent or more","3,038,790","±26,417","12.3%","±0.1"
"    Not computed","316,266","±9,466","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","38,515,453","±103,548","38,515,453","(X)"
"    Less than $200","762,834","±15,634","2.0%","±0.1"
"    $200 to $299","1,245,524","±17,923","3.2%","±0.1"
"    $300 to $499","3,274,563","±31,546","8.5%","±0.1"
"    $500 to $749","9,164,195","±51,276","23.8%","±0.1"
"    $750 to $999","9,357,218","±54,037","24.3%","±0.1"
"    $1,000 to $1,499","9,567,164","±55,174","24.8%","±0.1"
"    $1,500 or more","5,143,955","±48,148","13.4%","±0.1"
"    Median (dollars)","871","±2","(X)","(X)"
"    No rent paid","2,211,837","±24,889","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","37,583,736","±102,923","37,583,736","(X)"
"    Less than 15.0 percent","4,189,139","±39,727","11.1%","±0.1"
"    15.0 to 19.9 percent","4,390,987","±39,995","11.7%","±0.1"
"    20.0 to 24.9 percent","4,601,837","±40,116","12.2%","±0.1"
"    25.0 to 29.9 percent","4,327,514","±37,455","11.5%","±0.1"
"    30.0 to 34.9 percent","3,416,080","±34,843","9.1%","±0.1"
"    35.0 percent or more","16,658,179","±68,516","44.3%","±0.1"
"    Not computed","3,143,554","±29,510","(X)","(X)"
