"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"        3 rooms","12,820,515","±70,345","9.0%","±0.1"
"        4 rooms","22,251,103","±96,288","15.7%","±0.1"
"        5 rooms","26,439,561","±85,670","18.6%","±0.1"
"        6 rooms","24,927,199","±82,977","17.5%","±0.1"
"        7 rooms","17,046,581","±66,335","12.0%","±0.1"
"        8 rooms","12,894,229","±61,336","9.1%","±0.1"
"        9 rooms or more","17,829,177","±86,618","12.5%","±0.1"
"        Median rooms","5.6","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","142,148,050","±4,219","142,148,050","(X)"
"        No bedroom","3,959,211","±44,716","2.8%","±0.1"
"        1 bedroom","15,384,897","±60,695","10.8%","±0.1"
"        2 bedrooms","35,600,388","±96,731","25.0%","±0.1"
"        3 bedrooms","55,386,244","±106,583","39.0%","±0.1"
"        4 bedrooms","24,894,730","±77,952","17.5%","±0.1"
"        5 or more bedrooms","6,922,580","±40,241","4.9%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","127,544,730","±97,632","127,544,730","(X)"
"        Owner-occupied","83,396,988","±187,164","65.4%","±0.1"
"        Renter-occupied","44,147,742","±126,106","34.6%","±0.1"
"        Average household size of owner-occupied unit","2.65","±0.01","(X)","(X)"
"        Average household size of renter-occupied unit","2.33","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","127,544,730","±97,632","127,544,730","(X)"
"        Moved in 2019 or later","34,784,732","±98,409","27.3%","±0.1"
"        Moved in 2015 to 2018","28,234,034","±89,673","22.1%","±0.1"
"        Moved in 2010 to 2014","16,462,478","±75,658","12.9%","±0.1"
"        Moved in 2000 to 2009","22,180,943","±85,242","17.4%","±0.1"
"        Moved in 1990 to 1999","12,938,673","±60,316","10.1%","±0.1"
"        Moved in 1989 and earlier","12,943,870","±60,252","10.1%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","127,544,730","±97,632","127,544,730","(X)"
"        No vehicles available","10,263,494","±49,344","8.0%","±0.1"
"        1 vehicle available","41,959,133","±81,986","32.9%","±0.1"
"        2 vehicles available","47,337,486","±120,449","37.1%","±0.1"
"        3 or more vehicles available","27,984,617","±83,698","21.9%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","127,544,730","±97,632","127,544,730","(X)"
"        Utility gas","59,246,257","±115,119","46.5%","±0.1"
"        Bottled, tank, or LP gas","6,326,791","±46,754","5.0%","±0.1"
"        Electricity","52,279,174","±97,425","41.0%","±0.1"
"        Fuel oil, kerosene, etc.","5,218,757","±34,084","4.1%","±0.1"
"        Coal or coke","95,160","±4,364","0.1%","±0.1"
"        Wood","1,792,240","±20,670","1.4%","±0.1"
"        Solar energy","362,346","±11,069","0.3%","±0.1"
"        Other fuel","640,525","±13,889","0.5%","±0.1"
"        No fuel used","1,583,480","±20,094","1.2%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","127,544,730","±97,632","127,544,730","(X)"
"        Lacking complete plumbing facilities","522,752","±14,103","0.4%","±0.1"
"        Lacking complete kitchen facilities","1,027,179","±21,455","0.8%","±0.1"
"        No telephone service available","1,152,803","±19,793","0.9%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","127,544,730","±97,632","127,544,730","(X)"
"        1.00 or less","123,222,676","±112,888","96.6%","±0.1"
"        1.01 to 1.50","2,811,853","±30,780","2.2%","±0.1"
"        1.51 or more","1,510,201","±23,250","1.2%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","83,396,988","±187,164","83,396,988","(X)"
"        Less than $50,000","5,012,399","±34,356","6.0%","±0.1"
"        $50,000 to $99,999","6,591,730","±48,781","7.9%","±0.1"
"        $100,000 to $149,999","7,393,172","±42,648","8.9%","±0.1"
"        $150,000 to $199,999","9,312,599","±54,002","11.2%","±0.1"
"        $200,000 to $299,999","16,283,130","±78,506","19.5%","±0.1"
"        $300,000 to $499,999","20,456,170","±70,360","24.5%","±0.1"
"        $500,000 to $999,999","14,149,578","±56,020","17.0%","±0.1"
"        $1,000,000 or more","4,198,210","±33,224","5.0%","±0.1"
"        Median (dollars)","281,400","±452","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","83,396,988","±187,164","83,396,988","(X)"
"        Housing units with a mortgage","51,114,260","±122,077","61.3%","±0.1"
"        Housing units without a mortgage","32,282,728","±109,187","38.7%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","51,114,260","±122,077","51,114,260","(X)"
"        Less than $500","610,377","±12,347","1.2%","±0.1"
"        $500 to $999","7,554,733","±47,273","14.8%","±0.1"
"        $1,000 to $1,499","13,171,613","±59,618","25.8%","±0.1"
"        $1,500 to $1,999","11,146,103","±55,477","21.8%","±0.1"
"        $2,000 to $2,499","7,205,428","±48,006","14.1%","±0.1"
"        $2,500 to $2,999","4,377,761","±34,588","8.6%","±0.1"
"        $3,000 or more","7,048,245","±42,503","13.8%","±0.1"
"        Median (dollars)","1,672","±3","(X)","(X)"
"    Housing units without a mortgage","32,282,728","±109,187","32,282,728","(X)"
"        Less than $250","3,275,543","±29,146","10.1%","±0.1"
"        $250 to $399","6,595,521","±44,623","20.4%","±0.1"
"        $400 to $599","8,756,466","±49,801","27.1%","±0.1"
"        $600 to $799","5,686,328","±42,047","17.6%","±0.1"
"        $800 to $999","3,229,527","±32,133","10.0%","±0.1"
"        $1,000 or more","4,739,343","±32,207","14.7%","±0.1"
"        Median (dollars)","539","±1","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","50,836,661","±120,471","50,836,661","(X)"
"        Less than 20.0 percent","24,183,280","±87,092","47.6%","±0.1"
"        20.0 to 24.9 percent","7,621,860","±52,354","15.0%","±0.1"
"        25.0 to 29.9 percent","5,016,096","±40,912","9.9%","±0.1"
"        30.0 to 34.9 percent","3,332,250","±37,303","6.6%","±0.1"
"        35.0 percent or more","10,683,175","±58,282","21.0%","±0.1"
"        Not computed","277,599","±9,469","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","31,799,186","±107,877","31,799,186","(X)"
"        Less than 10.0 percent","14,658,010","±77,999","46.1%","±0.1"
"        10.0 to 14.9 percent","6,068,100","±38,735","19.1%","±0.1"
"        15.0 to 19.9 percent","3,345,349","±28,846","10.5%","±0.1"
"        20.0 to 24.9 percent","2,022,803","±21,823","6.4%","±0.1"
"        25.0 to 29.9 percent","1,293,336","±17,400","4.1%","±0.1"
"        30.0 to 34.9 percent","882,995","±17,105","2.8%","±0.1"
"        35.0 percent or more","3,528,593","±28,920","11.1%","±0.1"
"        Not computed","483,542","±11,504","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","41,991,861","±125,603","41,991,861","(X)"
"        Less than $500","3,320,529","±28,220","7.9%","±0.1"
"        $500 to $999","12,202,521","±59,975","29.1%","±0.1"
"        $1,000 to $1,499","12,853,108","±71,292","30.6%","±0.1"
"        $1,500 to $1,999","7,483,407","±58,067","17.8%","±0.1"
"        $2,000 to $2,499","3,236,958","±37,873","7.7%","±0.1"
"        $2,500 to $2,999","1,310,696","±21,057","3.1%","±0.1"
"        $3,000 or more","1,584,642","±21,444","3.8%","±0.1"
"        Median (dollars)","1,191","±2","(X)","(X)"
"        No rent paid","2,155,881","±23,747","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","40,979,329","±121,063","40,979,329","(X)"
"        Less than 15.0 percent","5,229,582","±45,648","12.8%","±0.1"
"        15.0 to 19.9 percent","5,001,591","±40,971","12.2%","±0.1"
"        20.0 to 24.9 percent","5,122,898","±46,672","12.5%","±0.1"
"        25.0 to 29.9 percent","4,703,786","±47,761","11.5%","±0.1"
"        30.0 to 34.9 percent","3,737,862","±41,744","9.1%","±0.1"
"        35.0 percent or more","17,183,610","±83,444","41.9%","±0.1"
"        Not computed","3,168,413","±36,079","(X)","(X)"
