"Label (Grouping)","United States!!Estimate","United States!!Estimate Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"    4 bedrooms","20,826,756","±61,148","15.8%","±0.1"
"    5 or more bedrooms","5,458,363","±31,680","4.1%","±0.1"
"HOUSING TENURE","","","",""
"    Occupied housing units","114,567,419","±163,249","114,567,419","(X)"
"    Owner-occupied","74,873,372","±216,091","65.4%","±0.1"
"    Renter-occupied","39,694,047","±91,880","34.6%","±0.1"
"    Average household size of owner-occupied unit","2.70","±0.01","(X)","(X)"
"    Average household size of renter-occupied unit","2.50","±0.01","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","114,567,419","±163,249","114,567,419","(X)"
"    Moved in 2005 or later","51,277,394","±86,702","44.8%","±0.1"
"    Moved in 2000 to 2004","20,276,446","±72,889","17.7%","±0.1"
"    Moved in 1990 to 1999","21,140,660","±84,499","18.5%","±0.1"
"    Moved in 1980 to 1989","9,903,801","±45,526","8.6%","±0.1"
"    Moved in 1970 to 1979","6,564,356","±39,669","5.7%","±0.1"
"    Moved in 1969 or earlier","5,404,762","±32,177","4.7%","±0.1"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","114,567,419","±163,249","114,567,419","(X)"
"    No vehicles available","10,397,000","±50,793","9.1%","±0.1"
"    1 vehicle available","38,742,368","±74,039","33.8%","±0.1"
"    2 vehicles available","43,057,467","±120,253","37.6%","±0.1"
"    3 or more vehicles available","22,370,584","±75,373","19.5%","±0.1"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","114,567,419","±163,249","114,567,419","(X)"
"    Utility gas","56,691,073","±106,554","49.5%","±0.1"
"    Bottled, tank, or LP gas","5,779,069","±37,106","5.0%","±0.1"
"    Electricity","40,579,098","±72,641","35.4%","±0.1"
"    Fuel oil, kerosene, etc.","7,389,599","±33,996","6.5%","±0.1"
"    Coal or coke","134,031","±5,443","0.1%","±0.1"
"    Wood","2,382,737","±24,481","2.1%","±0.1"
"    Solar energy","41,528","±3,070","0.0%","±0.1"
"    Other fuel","511,423","±10,192","0.4%","±0.1"
"    No fuel used","1,058,861","±14,963","0.9%","±0.1"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","114,567,419","±163,249","114,567,419","(X)"
"    Lacking complete plumbing facilities","652,447","±15,839","0.6%","±0.1"
"    Lacking complete kitchen facilities","1,101,966","±21,045","1.0%","±0.1"
"    No telephone service available","2,862,552","±22,251","2.5%","±0.1"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","114,567,419","±163,249","114,567,419","(X)"
"    1.00 or less","110,685,185","±177,582","96.6%","±0.1"
"    1.01 to 1.50","2,709,862","±28,743","2.4%","±0.1"
"    1.51 or more","1,172,372","±19,594","1.0%","±0.1"
"VALUE","","","",""
"    Owner-occupied units","74,873,372","±216,091","74,873,372","(X)"
"    Less than $50,000","6,439,216","±41,242","8.6%","±0.1"
"    $50,000 to $99,999","11,369,692","±66,664","15.2%","±0.1"
"    $100,000 to $149,999","11,993,019","±59,273","16.0%","±0.1"
"    $150,000 to $199,999","11,374,609","±60,162","15.2%","±0.1"
"    $200,000 to $299,999","13,950,049","±64,349","18.6%","±0.1"
"    $300,000 to $499,999","11,920,245","±48,777","15.9%","±0.1"
"    $500,000 to $999,999","6,268,081","±30,363","8.4%","±0.1"
"    $1,000,000 or more","1,558,461","±16,254","2.1%","±0.1"
"    Median (dollars)","179,900","±292","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","74,873,372","±216,091","74,873,372","(X)"
"    Housing units with a mortgage","50,339,500","±146,035","67.2%","±0.1"
"    Housing units without a mortgage","24,533,872","±94,652","32.8%","±0.1"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","50,339,500","±146,035","50,339,500","(X)"
"    Less than $300","102,659","±4,596","0.2%","±0.1"
"    $300 to $499","931,081","±14,033","1.8%","±0.1"
"    $500 to $699","2,755,796","±24,642","5.5%","±0.1"
"    $700 to $999","7,503,828","±41,795","14.9%","±0.1"
"    $1,000 to $1,499","13,995,701","±67,135","27.8%","±0.1"
"    $1,500 to $1,999","10,062,755","±54,177","20.0%","±0.1"
"    $2,000 or more","14,987,680","±51,905","29.8%","±0.1"
"    Median (dollars)","1,496","±3","(X)","(X)"
"    Housing units without a mortgage","24,533,872","±94,652","24,533,872","(X)"
"    Less than $100","312,698","±8,387","1.3%","±0.1"
"    $100 to $199","1,825,660","±19,782","7.4%","±0.1"
"    $200 to $299","4,054,535","±30,022","16.5%","±0.1"
"    $300 to $399","4,829,316","±34,623","19.7%","±0.1"
"    $400 or more","13,511,663","±55,629","55.1%","±0.1"
"    Median (dollars)","431","±1","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","50,082,779","±145,236","50,082,779","(X)"
"    Less than 20.0 percent","16,883,902","±73,189","33.7%","±0.1"
"    20.0 to 24.9 percent","7,982,386","±46,436","15.9%","±0.1"
"    25.0 to 29.9 percent","6,176,204","±37,772","12.3%","±0.1"
"    30.0 to 34.9 percent","4,458,297","±33,223","8.9%","±0.1"
"    35.0 percent or more","14,581,990","±53,411","29.1%","±0.1"
"    Not computed","256,721","±9,724","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","24,236,106","±95,186","24,236,106","(X)"
"    Less than 10.0 percent","9,396,588","±54,818","38.8%","±0.1"
"    10.0 to 14.9 percent","4,910,895","±32,249","20.3%","±0.1"
"    15.0 to 19.9 percent","3,026,986","±23,682","12.5%","±0.1"
"    20.0 to 24.9 percent","1,884,937","±20,654","7.8%","±0.1"
"    25.0 to 29.9 percent","1,248,311","±14,328","5.2%","±0.1"
"    30.0 to 34.9 percent","853,032","±14,232","3.5%","±0.1"
"    35.0 percent or more","2,915,357","±25,770","12.0%","±0.1"
"    Not computed","297,766","±8,646","(X)","(X)"
"GROSS RENT","","","",""
"    Occupied units paying rent","37,521,157","±92,184","37,521,157","(X)"
"    Less than $200","741,194","±11,728","2.0%","±0.1"
"    $200 to $299","1,241,947","±15,873","3.3%","±0.1"
"    $300 to $499","3,405,144","±28,496","9.1%","±0.1"
"    $500 to $749","9,208,836","±41,987","24.5%","±0.1"
"    $750 to $999","9,171,924","±54,508","24.4%","±0.1"
"    $1,000 to $1,499","9,072,731","±47,629","24.2%","±0.1"
"    $1,500 or more","4,679,381","±36,371","12.5%","±0.1"
"    Median (dollars)","855","±2","(X)","(X)"
"    No rent paid","2,172,890","±25,273","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","36,656,468","±91,113","36,656,468","(X)"
"    Less than 15.0 percent","4,119,114","±36,083","11.2%","±0.1"
"    15.0 to 19.9 percent","4,333,731","±35,328","11.8%","±0.1"
"    20.0 to 24.9 percent","4,537,176","±33,565","12.4%","±0.1"
"    25.0 to 29.9 percent","4,244,859","±33,585","11.6%","±0.1"
"    30.0 to 34.9 percent","3,373,639","±33,873","9.2%","±0.1"
"    35.0 percent or more","16,047,949","±61,858","43.8%","±0.1"
"    Not computed","3,037,579","±31,638","(X)","(X)"
