"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"        30 percent or more","5,831,106","±40,601","4.9%","±0.1","2,831,625","±27,658","3.7%","±0.1","2,999,481","±31,690","6.9%","±0.1"
"    $50,000 to $74,999","20,838,231","±82,272","17.4%","±0.1","13,665,829","±78,978","17.8%","±0.1","7,172,402","±47,339","16.5%","±0.1"
"        Less than 20 percent","9,725,029","±58,513","8.1%","±0.1","7,201,259","±53,832","9.4%","±0.1","2,523,770","±30,580","5.8%","±0.1"
"        20 to 29 percent","6,509,449","±49,643","5.4%","±0.1","3,611,159","±35,597","4.7%","±0.1","2,898,290","±32,271","6.7%","±0.1"
"        30 percent or more","4,603,753","±35,813","3.8%","±0.1","2,853,411","±27,804","3.7%","±0.1","1,750,342","±21,943","4.0%","±0.1"
"    $75,000 or more","48,080,729","±126,446","40.0%","±0.1","38,808,464","±142,227","50.6%","±0.1","9,272,265","±52,833","21.4%","±0.1"
"        Less than 20 percent","35,066,829","±103,131","29.2%","±0.1","28,747,376","±115,066","37.5%","±0.1","6,319,453","±42,931","14.6%","±0.1"
"        20 to 29 percent","9,784,019","±49,029","8.1%","±0.1","7,440,100","±46,185","9.7%","±0.1","2,343,919","±30,406","5.4%","±0.1"
"        30 percent or more","3,229,881","±29,836","2.7%","±0.1","2,620,988","±26,895","3.4%","±0.1","608,893","±15,197","1.4%","±0.1"
"    Zero or negative income","1,668,379","±24,513","1.4%","±0.1","671,925","±14,545","0.9%","±0.1","996,454","±18,605","2.3%","±0.1"
"    No cash rent","2,144,834","±21,924","1.8%","±0.1","(X)","(X)","(X)","(X)","2,144,834","±21,924","4.9%","±0.1"
