"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"        Median household income (dollars)","65,712","±118","65,712","±118","81,988","±124","81,988","±124","42,479","±137","42,479","±137"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","",""
"        Less than $300","7,223,740","±41,001","5.9%","±0.1","5,566,272","±40,604","7.1%","±0.1","1,657,468","±19,449","3.8%","±0.1"
"        $300 to $499","12,135,580","±61,672","9.9%","±0.1","9,937,946","±56,237","12.6%","±0.1","2,197,634","±27,067","5.0%","±0.1"
"        $500 to $799","19,954,950","±75,694","16.2%","±0.1","12,484,843","±69,031","15.9%","±0.1","7,470,107","±51,610","16.9%","±0.1"
"        $800 to $999","14,087,286","±58,064","11.5%","±0.1","7,267,855","±46,332","9.2%","±0.1","6,819,431","±45,507","15.5%","±0.1"
"        $1,000 to $1,499","28,110,498","±77,839","22.9%","±0.1","15,549,799","±72,399","19.8%","±0.1","12,560,699","±63,049","28.5%","±0.1"
"        $1,500 to $1,999","17,187,122","±55,893","14.0%","±0.1","10,828,920","±50,842","13.8%","±0.1","6,358,202","±48,753","14.4%","±0.1"
"        $2,000 to $2,499","9,294,880","±44,857","7.6%","±0.1","6,677,221","±43,206","8.5%","±0.1","2,617,659","±29,229","5.9%","±0.1"
"        $2,500 to $2,999","5,202,711","±31,724","4.2%","±0.1","4,053,593","±29,174","5.1%","±0.1","1,149,118","±18,981","2.6%","±0.1"
"        $3,000 or more","7,474,150","±39,649","6.1%","±0.1","6,358,413","±38,547","8.1%","±0.1","1,115,737","±15,750","2.5%","±0.1"
"        No cash rent","2,131,935","±23,513","1.7%","±0.1","(X)","(X)","(X)","(X)","2,131,935","±23,513","4.8%","±0.1"
"        Median (dollars)","1,112","±2","1,112","±2","1,124","±2","1,124","±2","1,097","±2","1,097","±2"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"        Less than $20,000","14,697,896","±61,469","12.0%","±0.1","5,916,180","±41,244","7.5%","±0.1","8,781,716","±54,475","19.9%","±0.1"
"            Less than 20 percent","934,265","±16,263","0.8%","±0.1","705,591","±13,278","0.9%","±0.1","228,674","±9,823","0.5%","±0.1"
"            20 to 29 percent","1,602,538","±21,134","1.3%","±0.1","788,638","±14,160","1.0%","±0.1","813,900","±16,088","1.8%","±0.1"
"            30 percent or more","12,161,093","±59,876","9.9%","±0.1","4,421,951","±36,792","5.6%","±0.1","7,739,142","±51,572","17.6%","±0.1"
"        $20,000 to $34,999","15,221,393","±65,691","12.4%","±0.1","7,703,074","±46,184","9.8%","±0.1","7,518,319","±53,825","17.1%","±0.1"
"            Less than 20 percent","2,946,377","±27,944","2.4%","±0.1","2,527,303","±24,516","3.2%","±0.1","419,074","±13,486","1.0%","±0.1"
"            20 to 29 percent","2,723,073","±30,543","2.2%","±0.1","1,572,427","±21,473","2.0%","±0.1","1,150,646","±20,838","2.6%","±0.1"
"            30 percent or more","9,551,943","±56,647","7.8%","±0.1","3,603,344","±33,140","4.6%","±0.1","5,948,599","±46,587","13.5%","±0.1"
"        $35,000 to $49,999","14,371,733","±69,573","11.7%","±0.1","8,141,778","±51,068","10.3%","±0.1","6,229,955","±52,223","14.1%","±0.1"
"            Less than 20 percent","4,415,655","±36,848","3.6%","±0.1","3,594,866","±32,270","4.6%","±0.1","820,789","±16,912","1.9%","±0.1"
"            20 to 29 percent","3,978,944","±33,255","3.2%","±0.1","1,834,278","±21,123","2.3%","±0.1","2,144,666","±28,423","4.9%","±0.1"
"            30 percent or more","5,977,134","±44,075","4.9%","±0.1","2,712,634","±28,985","3.4%","±0.1","3,264,500","±36,449","7.4%","±0.1"
"        $50,000 to $74,999","21,020,493","±74,180","17.1%","±0.1","13,494,024","±70,291","17.1%","±0.1","7,526,469","±53,725","17.1%","±0.1"
"            Less than 20 percent","9,468,051","±48,451","7.7%","±0.1","7,123,948","±44,878","9.0%","±0.1","2,344,103","±32,149","5.3%","±0.1"
"            20 to 29 percent","6,496,671","±40,512","5.3%","±0.1","3,424,110","±33,080","4.3%","±0.1","3,072,561","±30,895","7.0%","±0.1"
"            30 percent or more","5,055,771","±47,383","4.1%","±0.1","2,945,966","±34,372","3.7%","±0.1","2,109,805","±28,727","4.8%","±0.1"
"        $75,000 or more","53,895,965","±138,257","43.9%","±0.1","42,903,707","±160,915","54.5%","±0.1","10,992,258","±59,203","24.9%","±0.1"
"            Less than 20 percent","39,211,967","±118,286","31.9%","±0.1","31,986,722","±134,260","40.6%","±0.1","7,225,245","±49,179","16.4%","±0.1"
"            20 to 29 percent","10,936,429","±56,163","8.9%","±0.1","7,988,909","±51,251","10.1%","±0.1","2,947,520","±32,382","6.7%","±0.1"
"            30 percent or more","3,747,569","±30,996","3.1%","±0.1","2,928,076","±25,204","3.7%","±0.1","819,493","±17,498","1.9%","±0.1"
"        Zero or negative income","1,463,437","±22,840","1.2%","±0.1","566,099","±13,429","0.7%","±0.1","897,338","±19,266","2.0%","±0.1"
"        No cash rent","2,131,935","±23,513","1.7%","±0.1","(X)","(X)","(X)","(X)","2,131,935","±23,513","4.8%","±0.1"
