"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"        $300 to $499","11,731,955","±62,995","9.2%","±0.1","9,836,862","±59,919","11.8%","±0.1","1,895,093","±24,305","4.3%","±0.1"
"        $500 to $799","19,158,669","±76,952","15.0%","±0.1","13,008,108","±65,322","15.6%","±0.1","6,150,561","±46,849","13.9%","±0.1"
"        $800 to $999","13,571,209","±61,638","10.6%","±0.1","7,519,249","±52,543","9.0%","±0.1","6,051,960","±45,514","13.7%","±0.1"
"        $1,000 to $1,499","29,178,430","±77,830","22.9%","±0.1","16,325,322","±64,437","19.6%","±0.1","12,853,108","±71,292","29.1%","±0.1"
"        $1,500 to $1,999","19,518,322","±72,232","15.3%","±0.1","12,034,915","±56,064","14.4%","±0.1","7,483,407","±58,067","17.0%","±0.1"
"        $2,000 to $2,499","10,755,130","±61,988","8.4%","±0.1","7,518,172","±47,688","9.0%","±0.1","3,236,958","±37,873","7.3%","±0.1"
"        $2,500 to $2,999","5,827,239","±42,332","4.6%","±0.1","4,516,543","±36,400","5.4%","±0.1","1,310,696","±21,057","3.0%","±0.1"
"        $3,000 or more","8,878,183","±47,525","7.0%","±0.1","7,293,541","±43,048","8.7%","±0.1","1,584,642","±21,444","3.6%","±0.1"
"        No cash rent","2,155,881","±23,747","1.7%","±0.1","(X)","(X)","(X)","(X)","2,155,881","±23,747","4.9%","±0.1"
"        Median (dollars)","1,182","±2","1,182","±2","1,174","±2","1,174","±2","1,191","±2","1,191","±2"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"        Less than $20,000","14,752,152","±69,691","11.6%","±0.1","6,259,772","±41,739","7.5%","±0.1","8,492,380","±56,881","19.2%","±0.1"
"            Less than 20 percent","767,784","±15,343","0.6%","±0.1","583,584","±13,257","0.7%","±0.1","184,200","±7,784","0.4%","±0.1"
"            20 to 29 percent","1,402,189","±21,168","1.1%","±0.1","718,413","±13,899","0.9%","±0.1","683,776","±16,055","1.5%","±0.1"
"            30 percent or more","12,582,179","±66,472","9.9%","±0.1","4,957,775","±36,525","5.9%","±0.1","7,624,404","±55,642","17.3%","±0.1"
"        $20,000 to $34,999","14,518,986","±64,023","11.4%","±0.1","7,477,045","±45,287","9.0%","±0.1","7,041,941","±47,253","16.0%","±0.1"
"            Less than 20 percent","2,564,852","±24,484","2.0%","±0.1","2,234,520","±21,912","2.7%","±0.1","330,332","±10,217","0.7%","±0.1"
"            20 to 29 percent","2,354,723","±30,870","1.8%","±0.1","1,478,968","±20,636","1.8%","±0.1","875,755","±18,373","2.0%","±0.1"
"            30 percent or more","9,599,411","±56,021","7.5%","±0.1","3,763,557","±33,809","4.5%","±0.1","5,835,854","±47,483","13.2%","±0.1"
"        $35,000 to $49,999","14,085,979","±57,630","11.0%","±0.1","8,057,100","±52,596","9.7%","±0.1","6,028,879","±50,811","13.7%","±0.1"
"            Less than 20 percent","3,955,308","±33,097","3.1%","±0.1","3,335,894","±29,980","4.0%","±0.1","619,414","±13,768","1.4%","±0.1"
"            20 to 29 percent","3,515,563","±35,594","2.8%","±0.1","1,730,645","±22,232","2.1%","±0.1","1,784,918","±25,962","4.0%","±0.1"
"            30 percent or more","6,615,108","±42,970","5.2%","±0.1","2,990,561","±30,193","3.6%","±0.1","3,624,547","±41,362","8.2%","±0.1"
"        $50,000 to $74,999","21,115,129","±82,396","16.6%","±0.1","13,542,693","±69,009","16.2%","±0.1","7,572,436","±61,005","17.2%","±0.1"
"            Less than 20 percent","8,789,293","±53,545","6.9%","±0.1","6,869,305","±49,024","8.2%","±0.1","1,919,988","±23,968","4.3%","±0.1"
"            20 to 29 percent","6,358,879","±45,204","5.0%","±0.1","3,369,970","±36,549","4.0%","±0.1","2,988,909","±33,546","6.8%","±0.1"
"            30 percent or more","5,966,957","±51,609","4.7%","±0.1","3,303,418","±35,464","4.0%","±0.1","2,663,539","±33,926","6.0%","±0.1"
"        $75,000 or more","59,142,930","±124,020","46.4%","±0.1","47,299,237","±137,034","56.7%","±0.1","11,843,693","±66,847","26.8%","±0.1"
"            Less than 20 percent","42,408,675","±105,978","33.3%","±0.1","35,231,436","±114,327","42.2%","±0.1","7,177,239","±52,380","16.3%","±0.1"
"            20 to 29 percent","12,149,425","±63,407","9.5%","±0.1","8,656,099","±55,226","10.4%","±0.1","3,493,326","±40,868","7.9%","±0.1"
"            30 percent or more","4,584,830","±37,475","3.6%","±0.1","3,411,702","±29,813","4.1%","±0.1","1,173,128","±22,647","2.7%","±0.1"
"        Zero or negative income","1,773,673","±29,385","1.4%","±0.1","761,141","±14,274","0.9%","±0.1","1,012,532","±26,114","2.3%","±0.1"
"        No cash rent","2,155,881","±23,747","1.7%","±0.1","(X)","(X)","(X)","(X)","2,155,881","±23,747","4.9%","±0.1"
