"Label (Grouping)","United States!!Occupied housing units!!Estimate","United States!!Occupied housing units!!Margin of Error","United States!!Percent occupied housing units!!Estimate","United States!!Percent occupied housing units!!Margin of Error","United States!!Owner-occupied housing units!!Estimate","United States!!Owner-occupied housing units!!Margin of Error","United States!!Percent owner-occupied housing units!!Estimate","United States!!Percent owner-occupied housing units!!Margin of Error","United States!!Renter-occupied housing units!!Estimate","United States!!Renter-occupied housing units!!Margin of Error","United States!!Percent renter-occupied housing units!!Estimate","United States!!Percent renter-occupied housing units!!Margin of Error"
"        Less than $20,000","15,737,089","±65,167","13.0%","±0.1","6,425,828","±44,968","8.3%","±0.1","9,311,261","±51,902","21.3%","±0.1"
"            Less than 20 percent","927,985","±15,330","0.8%","±0.1","701,913","±14,044","0.9%","±0.1","226,072","±7,290","0.5%","±0.1"
"            20 to 29 percent","1,713,620","±19,708","1.4%","±0.1","867,690","±13,351","1.1%","±0.1","845,930","±14,596","1.9%","±0.1"
"            30 percent or more","13,095,484","±60,040","10.8%","±0.1","4,856,225","±37,785","6.2%","±0.1","8,239,259","±47,428","18.8%","±0.1"
"        $20,000 to $34,999","16,062,148","±55,998","13.2%","±0.1","8,235,301","±39,855","10.6%","±0.1","7,826,847","±47,478","17.9%","±0.1"
"            Less than 20 percent","3,046,504","±28,518","2.5%","±0.1","2,638,995","±27,589","3.4%","±0.1","407,509","±9,731","0.9%","±0.1"
"            20 to 29 percent","2,924,229","±29,017","2.4%","±0.1","1,679,166","±18,535","2.2%","±0.1","1,245,063","±20,268","2.8%","±0.1"
"            30 percent or more","10,091,415","±51,327","8.3%","±0.1","3,917,140","±29,326","5.0%","±0.1","6,174,275","±42,423","14.1%","±0.1"
"        $35,000 to $49,999","14,737,950","±61,763","12.1%","±0.1","8,511,793","±53,769","11.0%","±0.1","6,226,157","±51,598","14.2%","±0.1"
"            Less than 20 percent","4,555,563","±35,402","3.7%","±0.1","3,713,004","±32,629","4.8%","±0.1","842,559","±16,881","1.9%","±0.1"
"            20 to 29 percent","4,163,207","±34,227","3.4%","±0.1","1,950,506","±23,186","2.5%","±0.1","2,212,701","±30,582","5.1%","±0.1"
"            30 percent or more","6,019,180","±39,900","5.0%","±0.1","2,848,283","±28,750","3.7%","±0.1","3,170,897","±33,945","7.2%","±0.1"
"        $50,000 to $74,999","20,788,384","±75,161","17.1%","±0.1","13,470,290","±73,302","17.3%","±0.1","7,318,094","±46,610","16.7%","±0.1"
"            Less than 20 percent","9,415,464","±51,775","7.7%","±0.1","7,038,164","±47,385","9.1%","±0.1","2,377,300","±28,303","5.4%","±0.1"
"            20 to 29 percent","6,491,576","±41,138","5.3%","±0.1","3,497,491","±33,371","4.5%","±0.1","2,994,085","±29,442","6.8%","±0.1"
"            30 percent or more","4,881,344","±32,292","4.0%","±0.1","2,934,635","±24,791","3.8%","±0.1","1,946,709","±24,875","4.4%","±0.1"
"        $75,000 or more","50,458,364","±138,640","41.5%","±0.1","40,423,518","±147,567","52.0%","±0.1","10,034,846","±59,327","22.9%","±0.1"
"            Less than 20 percent","36,589,748","±123,471","30.1%","±0.1","29,903,176","±124,893","38.5%","±0.1","6,686,572","±48,272","15.3%","±0.1"
"            20 to 29 percent","10,375,280","±52,656","8.5%","±0.1","7,728,252","±43,919","9.9%","±0.1","2,647,028","±28,152","6.0%","±0.1"
"            30 percent or more","3,493,336","±26,152","2.9%","±0.1","2,792,090","±24,552","3.6%","±0.1","701,246","±14,588","1.6%","±0.1"
"        Zero or negative income","1,591,343","±22,563","1.3%","±0.1","641,664","±13,024","0.8%","±0.1","949,679","±19,554","2.2%","±0.1"
"        No cash rent","2,144,902","±27,468","1.8%","±0.1","(X)","(X)","(X)","(X)","2,144,902","±27,468","4.9%","±0.1"
